data,hora,ocorrência,endereço,bairro,município,cod_tipo,descrição,cód. sub tipo,desc. sub tipo,sit. encontrada,descrição finalização,obs. finalização
01/01/2020,01:16:04,M2280478,"RUA FR SANTA CECILIA,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,NÃO É COMPETÊNCIA PM/BM/PC,CONFRATERNIZAÇÃO UNIVERSAL
01/01/2020,00:25:57,M2280492,"RUA CEMITERIO,  :NUMERAL INFORMADO 0",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,NÃO É COMPETÊNCIA PM/BM/PC,031
01/01/2020,01:56:06,M2280531,"RUA NOVENTA E TRES CJ BRG EDUARDO GOMES, 8 :NUMERAL INFORMADO 0",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,NÃO É COMPETÊNCIA PM/BM/PC,031
01/01/2020,01:01:00,M2280539,"RUA JOAO PAULO DOS PASSOS, 2 :NUMERAL INFORMADO 0",.LTM ROSA MARIA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,01:19:33,M2280570,"RUA MANOEL RODRIGUES NETO, 22 : EST",.LTM ROSA MARIA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,01:20:55,M2280571,"RUA M UM LOT ROSA DO OESTE, 70 :NUMERAL INFORMADO 0",.LTM ROSA DO OESTE,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,01:21:16,M2280572,"RUA QUARENTA E NOVE CJ BRG EDUARDO GOMES, 107 : EST",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,02:24:21,M2280577,"RUA QUATORZE CJ BRG EDUARDO GOMES, 8 :NUMERAL INFORMADO 0",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,01:30:12,M2280586,"RUA QUATORZE CJ BRG EDUARDO GOMES, 146 : EST",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,02:39:53,M2280597,"POV SAO CRISTOVAO,  :NUMERAL INFORMADO 0",.NI,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,01:46:11,M2280611,"RUA ENG TERENCIO MOREL, 200 :NUMERAL INFORMADO 0",.LTM ROSA MARIA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,
01/01/2020,01:52:21,M2280620,"TV SAO JORGE, 37 : EST :NUMERAL INFORMADO 0",.LTM ROSA MARIA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,
01/01/2020,02:55:34,M2280627,"POV CAUEIRA,  :NUMERAL INFORMADO 0",.NI,.ITAPORANGA D'AJUDA,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,01:55:44,M2280629,"RUA SEIS CJ MARIA DO CARMO ALVES III, 8 :NUMERAL INFORMADO 0",.CJ HAB DRA MARIA CARMO,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,02:05:00,M2280641,"RUA ANTONIO DORIA, 32 :NUMERAL INFORMADO 0",.CJ ROSA ELZE,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,02:07:46,M2280647,"RUA QUATORZE CJ BRG EDUARDO GOMES, 8 :NUMERAL INFORMADO 0",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,02:09:39,M2280651,"RUA LAURO MAIA, 12 :NUMERAL INFORMADO 0",.LTM TIJUQUINHA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,02:37:28,M2280699,"RUA QUATORZE CJ BRG EDUARDO GOMES, 228 : EST",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,02:49:02,M2280714,"RUA ENG TERENCIO MOREL, 638 : EST",.LTM ROSA MARIA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,.
01/01/2020,03:40:02,M2280794,"RUA ENG TERENCIO MOREL, 200 :NUMERAL INFORMADO 0",.LTM ROSA MARIA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,EM VTR DISPONIVEL NO MOMENTO DEVIDO A GRANDE DEMANDA DO REVEIILLON. 
01/01/2020,03:44:30,M2280801,"RUA VINTE E TRES CJ BRG EDUARDO GOMES, 12 :NUMERAL INFORMADO 0",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,EM VTR DISPONIVEL NO MOMENTO DEVIDO A GRANDE DEMANDA DO REVEIILLON. 
01/01/2020,03:55:44,M2280824,"RUA UM CJ MARIA DO CARMO ALVES III, 160 : EST",.CJ HAB DRA MARIA CARMO,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.5,EM VIA PUBLICA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,EM VTR DISPONIVEL NO MOMENTO DEVIDO A GRANDE DEMANDA DO REVEIILLON. 
01/01/2020,04:05:08,M2280837,"TV SAO JORGE, 36 : EST :NUMERAL INFORMADO 0",.LTM ROSA MARIA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,OK
01/01/2020,04:14:38,M2280854,"RUA QUARENTA E SEIS CJ BRG EDUARDO GOMES, 97 : EST",.CJ BRG EDUARDO GOMES,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,SEM VTR DISPONIVEL NO MOMENTO DEVIDO A GRANDE DEMANDA DO REVEIILLON. 
01/01/2020,04:23:39,M2280869,"RUA DOM JOSE VICENTE TAVORA,  ",.A DEFINIR,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,FALTA DE VIATURA DISPONIVEL NA AREA E ESPECIALIZADAS,SEM VTR DISPONIVEL NO MOMENTO DEVIDO A GRANDE DEMANDA DO REVEIILLON. 
01/01/2020,04:34:35,M2280885,"RUA TRES CJ MARIA DO CARMO ALVES III, 8 :NUMERAL INFORMADO 0",.CJ HAB DRA MARIA CARMO,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.1,EM RESIDENCIA,,NADA CONSTATADO,
01/01/2020,05:59:37,M2280998,"RUA ENG TERENCIO MOREL, 750 : EST",.LTM ROSA MARIA,.SAO CRISTOVAO,E08420,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,E08420.2,EM VEICULO,,NADA CONSTATADO,
